D;G;C;SC;P;CCIF;GLOSA
09;2;3;01;00;09.2.3.01.00;CONSERVACIÓN Y REPARACIÓN DE OTROS BIENES DURADEROS IMPORTANTES PARA LA RECREACIÓN Y CULTURA
09;2;3;01;01;09.2.3.01.01;SERVICIO DE REPARACIÓN DE INSTRUMENTOS MUSICALES
09;2;3;01;02;09.2.3.01.02;SERVICIO DE REPARACIÓN DE MESAS DE JUEGO Y ARTEFACTOS PARA LA RECREACIÓN EN INTERIORES
09;3;0;00;00;09.3.0.00.00;OTROS ARTÍCULOS Y EQUIPO PARA RECREACIÓN, JARDINES Y ANIMALES DOMÉSTICOS
09;3;1;00;00;09.3.1.00.00;JUEGOS, JUGUETES Y AFICIONES
09;3;1;01;00;09.3.1.01.00;JUEGOS, JUGUETES Y AFICIONES
09;3;1;01;01;09.3.1.01.01;JUEGOS DE MESA Y JUGUETES DE TODO TIPO
09;3;1;01;02;09.3.1.01.02;TRICICLOS, BICICLETAS Y RODADOS DE NIÑOS
09;3;1;01;03;09.3.1.01.03;CONSOLAS DE VIDEOJUEGOS Y JUEGOS ELECTRÓNICOS
09;3;1;01;04;09.3.1.01.04;ARTÍCULOS PARA LA COLECCIÓN
09;3;1;01;05;09.3.1.01.05;REGALOS SIN ESPECIFICAR
09;3;1;01;06;09.3.1.01.06;SERVICIO TÉCNICO DE CONSOLAS DE VIDEOJUEGOS
09;3;1;01;07;09.3.1.01.07;PATINETAS Y MONOCICLOS ELÉCTRICOS
09;3;2;00;00;09.3.2.00.00;EQUIPO DE DEPORTES, CAMPAMENTOS Y RECREACIÓN AL AIRE LIBRE
09;3;2;01;00;09.3.2.01.00;EQUIPOS PARA LA PRÁCTICA DE DEPORTES, CAMPAMENTOS Y RECREACIÓN AL AIRE LIBRE
09;3;2;01;01;09.3.2.01.01;EQUIPOS Y ARTÍCULOS DE GIMNASIA, EDUCACIÓN FÍSICA Y DEPORTES
09;3;2;01;02;09.3.2.01.02;GRANDES EQUIPOS PARA GIMNASIA, EDUCACIÓN FÍSICA Y DEPORTES
09;3;2;01;03;09.3.2.01.03;ARMAS DE TODO TIPO
09;3;2;01;04;09.3.2.01.04;ACCESORIOS PARA LA DEFENSA PERSONAL
09;3;2;01;05;09.3.2.01.05;CAÑAS DE PESCAR Y OTROS EQUIPOS DE PESCA
09;3;2;01;06;09.3.2.01.06;EQUIPO DE CAMPAMENTO, COMO TIENDAS Y ACCESORIOS
